Unnamed: 0,Dividend,ID,Index,LastTradeDateTime,LastTradeDateTimeLong,LastTradePrice,LastTradeTime,LastTradeWithCurrency,StockSymbol,Yield,Name Of Company,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,22144,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",164.05,4:00PM EDT,164.05,AAPL,,Apple Inc.,,,,,,,,,,,
1,,694653,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",951.99,4:00PM EDT,951.99,GOOGL,,Alphabet Inc.,,,,,,,,,,,
2,,660463,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",978.25,4:00PM EDT,978.25,AMZN,,"Amazon.com, Inc.",,,,,,,,,,,
3,,296878244325128,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",172.02,4:00PM EDT,172.02,FB,,"Facebook, Inc. ",,,,,,,,,,,
4,,1123549994770601,OTCMKTS,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT","1,975.00",4:00PM EDT,"1,975.00",SSNLF,,Samsung Electronics Co Ltd.,,,,,,,,,,,
5,,358464,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",73.94,4:00PM EDT,73.94,MSFT,,Microsoft Corporation,,,,,,,,,,,
6,,33095,NYSE,2017-09-01T16:02:03Z,"Sep 1, 4:02PM EDT",39.72,4:02PM EDT,39.72,SNE,,Sony Corporation,,,,,,,,,,,
7,,18241,NYSE,2017-09-01T16:00:05Z,"Sep 1, 4:00PM EDT",144.08,4:00PM EDT,144.08,IBM,,IBM,,,,,,,,,,,
8,,685139,OTCMKTS,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",41.86,4:00PM EDT,41.86,NTDOY,,"Nintendo Co., Ltd.",,,,,,,,,,,
9,,419344,NYSE,2017-09-01T16:02:15Z,"Sep 1, 4:02PM EDT",50.62,4:02PM EDT,50.62,ORCL,,Oracle Corporation,,,,,,,,,,,
10,,718288,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",107.48,4:02PM EDT,107.48,VMW,,"VMware, Inc.",,,,,,,,,,,
11,,284784,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",35.09,4:00PM EDT,35.09,INTC,,Intel Corporation,,,,,,,,,,,
12,,17154,NYSE,2017-09-01T16:04:21Z,"Sep 1, 4:04PM EDT",19.36,4:04PM EDT,19.36,HPQ,,HP Inc.,,,,,,,,,,,
13,,420424055286581,NYSE,2017-09-01T16:02:05Z,"Sep 1, 4:02PM EDT",74.76,4:02PM EDT,74.76,DVMT,,Dell Technologies Inc.,,,,,,,,,,,
14,,99624,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",32.30,4:00PM EDT,32.30,CSCO,,"Cisco Systems, Inc.",,,,,,,,,,,
15,,4112,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",155.06,4:00PM EDT,155.06,ADBE,,Adobe Systems Incorporated,,,,,,,,,,,
16,,662102,NYSE,2017-09-01T16:02:05Z,"Sep 1, 4:02PM EDT",105.34,4:02PM EDT,105.34,SAP,,SAP SE ,,,,,,,,,,,
17,0.53,664197,OTCMKTS,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",10.84,4:00PM EDT,10.84,LNVGY,11.15,Lenovo Group Limited ,,,,,,,,,,,
18,,663462,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",107.46,4:02PM EDT,107.46,RHT,,Red Hat Inc.,,,,,,,,,,,
19,,546053,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",29.86,4:00PM EDT,29.86,SYMC,,Symantec Corporation,,,,,,,,,,,
20,,32086821185414,NYSE,2017-09-01T16:02:20Z,"Sep 1, 4:02PM EDT",16.86,4:02PM EDT,16.86,TWTR,,Twitter Inc.,,,,,,,,,,,
21,,2150003,NASDAQ,2016-04-22T16:00:02Z,"Apr 22, 4:00PM EDT",2.00,4:00PM EDT,2.00,ATNY,,API TECHNOLOGIES CORP,,,,,,,,,,,
22,,701792,NASDAQ,2017-07-13T16:00:00Z,"Jul 13, 4:00PM EDT",2.14,4:00PM EDT,2.14,ACTS,,"Actions Semiconductor Co., Ltd.",,,,,,,,,,,
23,,353353,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",65.12,4:00PM EDT,65.12,ATVI,,"Activision Blizzard, Inc.",,,,,,,,,,,
24,,22211999209714,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",6.70,4:00PM EDT,6.70,IOTS,,Adesto Technologies Corporation,,,,,,,,,,,
25,,991188195088616,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",11.70,4:00PM EDT,11.70,ADRO,,Aduro BioTech Inc.,,,,,,,,,,,
26,,327,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",13.19,4:00PM EDT,13.19,AMD,,"Advanced Micro Devices, Inc.",,,,,,,,,,,
27,,658374,NASDAQ,2015-07-07T16:47:00Z,"Jul 7, 4:47PM EDT",44.24,4:47PM EDT,44.24,ADVS,,"Advent Software, Inc.",,,,,,,,,,,
28,,662811,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",104.18,4:00PM EDT,104.18,ZBRA,,Zebra Technologies Corp.,,,,,,,,,,,
29,,6977158,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",3.34,4:00PM EDT,3.34,XPLR,,Xplore Technologies Corp.,,,,,,,,,,,
30,,421116157082207,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",5.08,4:00PM EDT,5.08,XBIT,,XBiotech Inc.,,,,,,,,,,,
31,,353014528816355,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",64.45,4:00PM EDT,64.45,WIX,,Wix.Com Ltd.,,,,,,,,,,,
32,,700772,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",66.47,4:00PM EDT,66.47,WBMD,,WebMD Health Corp.,,,,,,,,,,,
33,,795984728141116,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",17.00,4:00PM EDT,17.00,VNOM,,Viper Energy Partners LP,,,,,,,,,,,
34,,726801,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",38.35,4:00PM EDT,38.35,VIA,,"Viacom, Inc. ",,,,,,,,,,,
35,,658077,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",19.40,4:00PM EDT,19.40,VECO,,Veeco Instruments Inc.,,,,,,,,,,,
36,,28412864560552,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",23.64,4:00PM EDT,23.64,UPLD,,Upland Software Inc.,,,,,,,,,,,
37,,2022526,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",58.97,4:00PM EDT,58.97,UBNT,,Ubiquiti Networks Inc.,,,,,,,,,,,
38,,658290,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",26.60,4:00PM EDT,26.60,UFPT,,"UFP Technologies, Inc.",,,,,,,,,,,
39,,895337094816535,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",5.68,4:00PM EDT,5.68,TYME,,Tyme Technologies Inc.,,,,,,,,,,,
40,,684340864013756,NASDAQ,2016-02-03T16:00:01Z,"Feb 3, 4:00PM EST",5.87,4:00PM EST,5.87,TRIV,,TriVascular Technologies Inc.,,,,,,,,,,,
41,,307145951988945,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",42.74,4:00PM EDT,42.74,TRIP,,Tripadvisor Inc.,,,,,,,,,,,
42,,161667,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",1.29,4:00PM EDT,1.30,TGA,,TransGlobe Energy Corporation,,,,,,,,,,,
43,,718543,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",5.68,4:02PM EDT,5.68,TSI,,"TCW Strategic Income Fund, Inc. ",,,,,,,,,,,
44,,657924,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",13.05,4:00PM EDT,13.05,TESS,,"TESSCO Technologies, Inc.",,,,,,,,,,,
45,,19,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",36.25,4:02PM EDT,36.25,AIR,,AAR Corp.,,,,,,,,,,,
46,,259191792656050,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",6.60,4:02PM EDT,6.60,ATEN,,A10 Networks Inc.,,,,,,,,,,,
47,,14986500,NYSE,2017-09-01T16:02:18Z,"Sep 1, 4:02PM EDT",10.87,4:02PM EDT,10.87,AQN,,Algonquin Power & Utilities Corp.,,,,,,,,,,,
48,,557960,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",12.85,4:02PM EDT,12.85,DDD,,3D Systems Corporation,,,,,,,,,,,
49,,631764807437055,NYSE,2017-09-01T16:02:03Z,"Sep 1, 4:02PM EDT",63.94,4:02PM EDT,63.94,WUBA,,58.com Inc.,,,,,,,,,,,
50,,665276,NYSE,2017-09-01T16:02:03Z,"Sep 1, 4:02PM EDT",6.13,4:02PM EDT,6.13,ASX,,ASX Ltd.,,,,,,,,,,,
51,,663860,NYSE,2017-09-01T16:03:16Z,"Sep 1, 4:03PM EDT",64.38,4:03PM EDT,64.38,A,,Agilent Technologies Inc.,,,,,,,,,,,
52,,9647161361367,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",22.81,4:02PM EDT,22.81,AYX,,Alteryx Inc.,,,,,,,,,,,
53,,1048550006614550,NYSE,2017-09-01T16:02:00Z,"Sep 1, 4:02PM EDT",7.94,4:02PM EDT,7.94,AMBR,,Amber Road Inc.,,,,,,,,,,,
54,,661395,NYSE,2017-09-01T16:00:11Z,"Sep 1, 4:00PM EDT",59.80,4:00PM EDT,59.80,AEE,,Ameren Corp.,,,,,,,,,,,
55,,69898,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",32.85,4:02PM EDT,32.85,BHE,,"Benchmark Electronics, Inc.",,,,,,,,,,,
56,,71562,NYSE,2017-09-01T16:02:00Z,"Sep 1, 4:02PM EDT",219.03,4:02PM EDT,219.03,BIO,,"Bio-Rad Laboratories, Inc. ",,,,,,,,,,,
57,,696184,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",17.17,4:02PM EDT,17.17,CPL,,CPFL Energia S.A. ,,,,,,,,,,,
58,,5236,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",22.65,4:02PM EDT,22.65,CTS,,CTS Corporation,,,,,,,,,,,
59,,9111,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",159.36,4:02PM EDT,159.36,CMI,,Cummins Inc.,,,,,,,,,,,
60,,723044,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",34.60,4:02PM EDT,34.60,DGI,,DigitalGlobe Inc.,,,,,,,,,,,
60,,723044,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",34.60,4:02PM EDT,34.60,DGI,,DigitalGlobe Inc.,,,,,,,,,,,
86,,723044,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",34.60,4:02PM EDT,34.60,DGI,,DigitalGlobe Inc.,,,,,,,,,,,
86,,723044,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",34.60,4:02PM EDT,34.60,DGI,,DigitalGlobe Inc.,,,,,,,,,,,
61,,10020,NYSE,2017-09-01T16:00:28Z,"Sep 1, 4:00PM EDT",78.33,4:00PM EDT,78.33,D,,Dominion Energy Inc.,,,,,,,,,,,
62,,271466,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",86.00,4:02PM EDT,86.00,HEI,,Heico Corp,,,,,,,,,,,
63,,655615,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",11.53,4:00PM EDT,11.53,ASUR,,Heico Corp,,,,,,,,,,,
64,,656328,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",4.47,4:00PM EDT,4.47,AVID,,"Avid Technology, Inc.",,,,,,,,,,,
65,,663025,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",30.62,4:00PM EDT,30.62,EPAY,,Bottomline Technologies,,,,,,,,,,,
66,,705837,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",1.30,4:00PM EDT,1.30,CBAK,,CBAK Energy Technology Inc.,,,,,,,,,,,
67,,92307,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",1.12,4:00PM EDT,1.12,CPSH,,CPS Technologies Corporation,,,,,,,,,,,
68,,655719,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",4.75,4:00PM EDT,4.75,CYAN,,CYANOTECH CORP,,,,,,,,,,,
69,,615138382492431,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",44.62,4:00PM EDT,44.62,DBVT,,DBV Technologies,,,,,,,,,,,
70,,907454951372768,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",1.21,4:00PM EDT,1.21,DELT,,Delta Technology Holdings Ltd.,,,,,,,,,,,
71,,659942,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",6.47,4:00PM EDT,6.47,EDGW,,Edgewater Technology Inc.,,,,,,,,,,,
72,,1060156368870410,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",5.70,4:00PM EDT,5.70,XELA,,Exela Technologies Inc.,,,,,,,,,,,
73,,667026,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",0.355,4:00PM EDT,0.36,FALC,,"FalconStor Software, Inc.",,,,,,,,,,,
74,,16581430,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",7.50,4:00PM EDT,7.50,SVVC,,Firsthand Technology Value Fund Inc.,,,,,,,,,,,
75,,9112677,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",4.81,4:00PM EDT,4.81,FBIO,,Fortress Biotech,,,,,,,,,,,
76,,661455,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",14.85,4:00PM EDT,14.85,GEOS,,Geospace Technologies Corporation,,,,,,,,,,,
77,,4100503,NASDAQ,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",27.44,4:00PM EDT,27.44,QQQC,,Global X China Technology,,,,,,,,,,,
78,,531834042473910,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",9.00,4:00PM EDT,9.00,GPRO,,GoPro Inc.,,,,,,,,,,,
79,,664838,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",17.85,4:00PM EDT,17.85,MRVL,,Marvell Technology Group Ltd.,,,,,,,,,,,
80,,940231036093421,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",49.23,4:00PM EDT,49.23,MZOR,,Mazor Robotics Ltd,,,,,,,,,,,
81,,213717072645987,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",43.35,4:02PM EDT,43.35,BKFS,,Black Knight Financial Services Inc.,,,,,,,,,,,
82,,661224,NYSE,2017-09-01T16:00:54Z,"Sep 1, 4:00PM EDT",240.33,4:00PM EDT,240.33,BA,,Boeing Co.,,,,,,,,,,,
83,,655853,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",34.87,4:02PM EDT,34.87,CAJ,,Canon Inc.,,,,,,,,,,,
84,,656266,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",21.50,4:02PM EDT,21.50,CRY,,Cryolife Inc.,,,,,,,,,,,
85,,145482,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",43.30,4:02PM EDT,43.30,CUB,,Cubic Corporation,,,,,,,,,,,
87,,667047,NYSE,2017-09-01T16:01:05Z,"Sep 1, 4:01PM EDT",18.67,4:01PM EDT,18.67,GME,,GameStop Corporation,,,,,,,,,,,
88,,14676476,NYSE,2017-09-01T16:00:23Z,"Sep 1, 4:00PM EDT",37.36,4:00PM EDT,37.36,GM,,General Motors Company,,,,,,,,,,,
89,,1792600,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",5.95,4:02PM EDT,5.95,GNE,,Genie Energy Ltd,,,,,,,,,,,
90,,667044,NYSE,2017-09-01T16:03:11Z,"Sep 1, 4:03PM EDT",204.64,4:03PM EDT,204.64,ASR,,Grupo Aeroportuario dl Srst SAB CV ,,,,,,,,,,,
91,,705160,NYSE,2017-09-01T16:02:03Z,"Sep 1, 4:02PM EDT",110.91,4:02PM EDT,110.91,PAC,,Grupo Aeroportr dl Pcfco SAB de CV,,,,,,,,,,,
92,,285358169912473,NYSE,2017-09-01T16:01:16Z,"Sep 1, 4:01PM EDT",80.05,4:01PM EDT,80.05,MDT,,Medtronic PLC,,,,,,,,,,,
93,,661135,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",602.94,4:02PM EDT,602.94,MTD,,Mettler-Toledo International Inc.,,,,,,,,,,,
94,,589360818704057,NYSE,2017-09-01T16:00:00Z,"Sep 1, 4:00PM EDT",9.59,4:00PM EDT,9.59,MIXT,,MiX Telematics Ltd.,,,,,,,,,,,
95,,727656976638193,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",21.86,4:02PM EDT,21.86,MULE,,Mulesoft Inc,,,,,,,,,,,
96,,24965,NYSE,2017-09-01T16:02:01Z,"Sep 1, 4:02PM EDT",71.55,4:02PM EDT,71.55,NC,,"NACCO Industries, Inc.",,,,,,,,,,,
97,,488693,NYSE,2017-09-01T16:02:02Z,"Sep 1, 4:02PM EDT",6.19,4:02PM EDT,6.19,NPTN,,NeoPhotonics Corporation,,,,,,,,,,,
98,,8593082,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",112.90,4:00PM EDT,112.90,NXPI,,NXP Semiconductors NV,,,,,,,,,,,
99,,284113305560235,NASDAQ,2017-09-01T16:00:01Z,"Sep 1, 4:00PM EDT",15.53,4:00PM EDT,15.53,NSTG,,"NanoString Technologies, Inc. ",,,,,,,,,,,
